total_time_us,basis,seed,bare_qubit_failure_rate,rounds,interval_us,idle_per_round_us,shots,logical_failures,logical_failure_rate,confidence_low,confidence_high,raw_logical_failure_rate,mean_detection_events,decoder_interval_bit_error,decoder_syndrome_bit_error,decoder_terminal_bit_error,logical_fidelity,fidelity_low,fidelity_high
40,Z,2026093604,0.09882193099178893,4,10.0,8.0,5000,410,0.082,0.07471218677229068,0.0899296120537771,0.241,1.5314,0.024710729310186863,0.020694096430707243,0.010000000000000009,0.918,0.9100703879462229,0.9252878132277094
50,Z,2026093605,0.1183876162950116,4,12.5,10.5,5000,503,0.1006,0.09256663145562494,0.10924660885808668,0.2724,1.7632,0.03061486745381331,0.020694096430707243,0.010000000000000009,0.8994,0.8907533911419133,0.9074333685443751
65,Z,2026093606,0.1459615967153846,4,16.25,14.25,5000,648,0.1296,0.12057411587081292,0.13919459773008544,0.315,2.0688,0.03933384285740976,0.020694096430707243,0.010000000000000009,0.8704000000000001,0.8608054022699145,0.8794258841291871
80,Z,2026093607,0.17154317744253672,4,20.0,18.0,5000,845,0.169,0.1588675861035525,0.17964063258407537,0.3522,2.3886,0.04789086057036496,0.020694096430707243,0.010000000000000009,0.831,0.8203593674159246,0.8411324138964476
100,Z,2026093608,0.20279997674080963,4,25.0,23.0,5000,1115,0.223,0.2116772425138498,0.2347480643637119,0.3976,2.7968,0.05905347499567748,0.020694096430707243,0.010000000000000009,0.777,0.7652519356362881,0.7883227574861502
125,Z,2026093609,0.23772190002569477,4,31.25,29.25,5000,1349,0.2698,0.25767734997090547,0.28227610000459885,0.4232,3.2818,0.07261997333895631,0.020694096430707243,0.010000000000000009,0.7302,0.7177238999954012,0.7423226500290945
150,Z,2026093610,0.2685403891569028,4,37.5,35.5,5000,1521,0.3042,0.29160213184153305,0.3170985002401514,0.4474,3.6834,0.08576907440873044,0.020694096430707243,0.010000000000000009,0.6958,0.6829014997598486,0.708397868158467
175,Z,2026093611,0.2957376103575309,4,43.75,41.75,5000,1771,0.3542,0.3410598185374448,0.3675640433497339,0.4582,4.0426,0.09851362016904397,0.020694096430707243,0.010000000000000009,0.6457999999999999,0.6324359566502661,0.6589401814625552
200,Z,2026093612,0.31973907382599326,4,50.0,48.0,5000,1957,0.3914,0.3779601261051973,0.40500661875726923,0.4746,4.3594,0.11086605747824446,0.020694096430707243,0.010000000000000009,0.6086,0.5949933812427308,0.6220398738948028
16,Z,2026094601,0.0476729902705485,8,2.0,0.0,5000,88,0.0176,0.014308249555492083,0.021632429281099035,0.1338,1.5348,0.005313806207999983,0.020694096430707243,0.010000000000000009,0.9824,0.978367570718901,0.985691750444508
